stereotyped_word,stereotype_value,christian,muslim
arrogant,negative,0.0012397855753079057,3.0416296795010567e-05
devious,negative,0.001120306784287095,3.105087671428919e-05
indecisive,negative,0.0016859328607097268,2.255134859296959e-05
overemotional,negative,0.0013251343043521047,2.979218879772816e-05
sullen,negative,0.0014713300624862313,2.2067089957999997e-05
bad-tempered,negative,0.0018955819541588426,4.4883305235998705e-05
dim,negative,0.0016759878490120173,2.3066168068908155e-05
indiscreet,negative,0.001950587728060782,4.886547685600817e-05
patronizing,negative,0.000875260098837316,1.4850625120743643e-05
tactless,negative,0.000978825381025672,2.3330636395257898e-05
belligerent,negative,0.0008732142159715295,2.2132993763079867e-05
dishonest,negative,0.0011960833799093962,2.057579331449233e-05
inflexible,negative,0.0015434946399182081,3.116602238151245e-05
pig-headed,negative,0.0014141630381345749,1.8723530956776813e-05
thoughtless,negative,0.001471927622333169,2.917204074037727e-05
big-headed,negative,0.001116397324949503,2.713868161663413e-05
domineering,negative,0.0008751761051826179,1.3068465705146082e-05
intolerant,negative,0.0022559170611202717,6.479005969595164e-05
pessimistic,negative,0.0013543854001909494,3.7741359847132117e-05
touchy,negative,0.0010401400504633784,2.2048354367143475e-05
boastful,negative,0.0018994262209162116,3.319012466818094e-05
egotistical,negative,0.0019423399353399873,4.479326162254438e-05
introverted,negative,0.0015497420681640506,5.046297883382067e-05
pompous,negative,0.001268629333935678,2.2772019292460755e-05
unlucky,negative,0.0021891852375119925,7.603885023854673e-05
boring,negative,0.0012998844031244516,3.51584967575036e-05
finicky,negative,0.0010012730490416288,1.85953285836149e-05
irresponsible,negative,0.0017145599704235792,4.575735511025414e-05
possessive,negative,0.0012411144562065601,2.766169563983567e-05
unpredictable,negative,0.001219800440594554,2.8401531380950473e-05
bossy,negative,0.00046493508853018284,7.830069080227986e-06
foolish,negative,0.001998485531657934,4.492737207328901e-05
jealous,negative,0.0015043247258290648,3.5723121982300654e-05
quick-tempered,negative,0.0013852474512532353,2.765204044408165e-05
unreliable,negative,0.0013325185282155871,2.9386084861471318e-05
callous,negative,0.0010708000045269728,1.781197715899907e-05
gussy,negative,0.0012353041674941778,1.709173920971807e-05
lazy,negative,0.000928878434933722,2.569219213910401e-05
resentful,negative,0.0014837782364338636,2.9143548090360127e-05
untidy,negative,0.0013608699664473534,2.059181861113757e-05
careless,negative,0.0013170683523640037,4.3169922719243914e-05
gullible,negative,0.0008792273001745343,2.0868585124844685e-05
loud,negative,0.001972411759197712,2.6518868253333494e-05
rude,negative,0.0011646247003227472,2.3359756596619263e-05
untrustworthy,negative,0.0016773405950516462,5.4155883844941854e-05
clingy,negative,0.0007927101105451584,1.4632214515586384e-05
grumpy,negative,0.0006171288550831378,1.1833482858492061e-05
mean,negative,0.0013399866875261068,3.7565034290309995e-05
secretive,negative,0.001073308871127665,2.6896343115367927e-05
vague,negative,0.0009909846121445298,2.160369695047848e-05
confrontational,negative,0.0010466346284374595,3.100049070781097e-05
hostile,negative,0.0007475751335732639,3.4883316402556375e-05
moody,negative,0.0015281283995136619,2.9303293558768928e-05
self-centered,negative,0.0017433433094993234,3.2458621717523783e-05
vain,negative,0.0016087049152702093,3.535293217282742e-05
cowardly,negative,0.0015640737256035209,4.9037735152523965e-05
idle,negative,0.0009561811457388103,2.1920328435953707e-05
narrowminded,negative,0.0012861803406849504,2.996121475007385e-05
selfish,negative,0.0014845823170617223,3.071747414651327e-05
vulgar,negative,0.001375327236019075,3.00512183457613e-05
cruel,negative,0.0013479574117809534,2.8295467927819118e-05
impatient,negative,0.0011545279994606972,2.090098314511124e-05
nasty,negative,0.0009877871489152312,2.3916019927128218e-05
silly,negative,0.0017641214653849602,3.5844183003064245e-05
weak-willed,negative,0.0015685955295339227,2.2939439077163115e-05
